sheet,question_number,question,app_view,code,workbook_chart_request,implementation_status
FINAL 10 QUESTIONS,1,"How much revenue comes from repeat customers, and what experience factors distinguish repeat buyers from one-time buyers?",#q1,"analytics.py:final_question(1, …)",KPI + 100% stacked bar + driver heatmap,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,2,"At what delivery delay does customer satisfaction drop sharply, and does the tipping point differ by category or customer state?",#q2,"analytics.py:final_question(2, …)",Binned line chart + heatmap,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,3,"Where is customer demand strong but seller supply thin, and which category × state combinations should the marketplace prioritize for growth?",#q3,"analytics.py:final_question(3, …)",Demand-supply heatmap + bubble chart,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,4,"How do delivery distance, freight burden and delivery performance trade off, and where are customers paying high freight without receiving better service?",#q4,"analytics.py:final_question(4, …)",Scatter plot + trend line + bubble size,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,5,"Which categories generate high revenue but disproportionately poor customer satisfaction, and how much marketplace revenue is exposed?",#q5,"analytics.py:final_question(5, …)",Revenue vs satisfaction quadrant + bubble chart,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,6,"How dependent is marketplace revenue on a small group of sellers, and which categories are most exposed if top sellers underperform or leave?",#q6,"analytics.py:final_question(6, …)",Pareto chart + category concentration heatmap,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,7,Which marketing lead sources generate the highest conversion from marketing-qualified lead to closed seller?,#q7,"analytics.py:final_question(7, …)",Funnel + horizontal bar chart,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,8,"Do different marketing channels bring commercially stronger sellers, not just more sellers?",#q8,"analytics.py:final_question(8, …)",Box plot / distribution + quadrant chart,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,9,Does faster lead conversion translate into stronger seller performance and better customer experience after sellers join the marketplace?,#q9,"analytics.py:final_question(9, …)",Cohort line + scatter plot,Implemented with explicit data-limit notes
FINAL 10 QUESTIONS,10,"Do high-value orders receive better or worse service, and where is the experience gap largest across categories?",#q10,"analytics.py:final_question(10, …)",Box plot / distribution + quadrant chart,Implemented with explicit data-limit notes
